name,n_data_list
or-60-20-3-UC-10.cnf.bz2, 0
CBS_k3_n100_m403_b70_746.cnf.xz, 1
CBS_k3_n100_m449_b70_180.cnf.xz, 1
CBS_k3_n100_m411_b90_149.cnf.xz, 1
CBS_k3_n100_m411_b30_451.cnf.xz, 1
CBS_k3_n100_m449_b70_310.cnf.xz, 1
CBS_k3_n100_m441_b90_117.cnf.xz, 1
CBS_k3_n100_m435_b30_153.cnf.xz, 1
CBS_k3_n100_m423_b10_141.cnf.xz, 1
CBS_k3_n100_m435_b50_753.cnf.xz, 1
CBS_k3_n100_m418_b70_801.cnf.xz, 1
CBS_k3_n100_m435_b50_122.cnf.xz, 1
CBS_k3_n100_m441_b70_812.cnf.xz, 1
CBS_k3_n100_m441_b70_827.cnf.xz, 1
CBS_k3_n100_m423_b50_585.cnf.xz, 1
CBS_k3_n100_m411_b30_401.cnf.xz, 1
CBS_k3_n100_m403_b30_353.cnf.xz, 1
CBS_k3_n100_m429_b50_772.cnf.xz, 1
CBS_k3_n100_m449_b10_630.cnf.xz, 1
CBS_k3_n100_m441_b90_786.cnf.xz, 1
CBS_k3_n100_m411_b50_162.cnf.xz, 1
CBS_k3_n100_m449_b10_193.cnf.xz, 1
CBS_k3_n100_m423_b30_365.cnf.xz, 1
BlastedSMT_blasted_squaring70.mcc2020_cnf.b+e.bz2, 0
CBS_k3_n100_m435_b70_500.cnf.xz, 1
CBS_k3_n100_m418_b10_46.cnf.xz, 1
CBS_k3_n100_m418_b50_100.cnf.xz, 1
CBS_k3_n100_m403_b90_542.cnf.xz, 1
CBS_k3_n100_m411_b90_578.cnf.xz, 1
CBS_k3_n100_m418_b30_207.cnf.xz, 1
CBS_k3_n100_m411_b50_663.cnf.xz, 1
CBS_k3_n100_m449_b10_149.cnf.xz, 1
CBS_k3_n100_m429_b10_365.cnf.xz, 1
BlastedSMT_blasted_squaring23.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m449_b50_285.cnf.xz, 1
CBS_k3_n100_m403_b70_926.cnf.xz, 1
CBS_k3_n100_m418_b50_156.cnf.xz, 1
CBS_k3_n100_m429_b10_233.cnf.xz, 1
CBS_k3_n100_m441_b90_987.cnf.xz, 1
3_150_599.cnf.xz, 1
CBS_k3_n100_m435_b10_361.cnf.xz, 1
CBS_k3_n100_m411_b10_257.cnf.xz, 1
CBS_k3_n100_m418_b30_357.cnf.xz, 1
CBS_k3_n100_m411_b10_598.cnf.xz, 1
CBS_k3_n100_m423_b70_286.cnf.xz, 1
CBS_k3_n100_m403_b90_170.cnf.xz, 1
CBS_k3_n100_m441_b90_520.cnf.xz, 1
BMS_k3_n100_m429_183.cnf.xz, 1
CBS_k3_n100_m423_b30_577.cnf.xz, 1
CBS_k3_n100_m411_b50_937.cnf.xz, 1
CBS_k3_n100_m411_b90_535.cnf.xz, 1
CBS_k3_n100_m423_b50_981.cnf.xz, 1
CBS_k3_n100_m441_b70_350.cnf.xz, 1
CBS_k3_n100_m423_b50_328.cnf.xz, 1
3_115_482.cnf.xz, 1
CBS_k3_n100_m441_b10_649.cnf.xz, 1
CBS_k3_n100_m449_b50_949.cnf.xz, 1
CBS_k3_n100_m411_b50_200.cnf.xz, 1
CBS_k3_n100_m449_b50_800.cnf.xz, 1
CBS_k3_n100_m449_b30_587.cnf.xz, 1
CBS_k3_n100_m418_b70_666.cnf.xz, 1
CBS_k3_n100_m449_b90_13.cnf.xz, 1
CBS_k3_n100_m423_b70_704.cnf.xz, 1
CBS_k3_n100_m411_b10_731.cnf.xz, 1
CBS_k3_n100_m418_b50_592.cnf.xz, 1
3_135_553.cnf.xz, 1
CBS_k3_n100_m435_b50_721.cnf.xz, 1
CBS_k3_n100_m435_b10_680.cnf.xz, 1
CBS_k3_n100_m429_b30_795.cnf.xz, 1
CBS_k3_n100_m429_b30_464.cnf.xz, 1
or-70-5-8-UC-10.cnf.bz2, 0
CBS_k3_n100_m449_b70_79.cnf.xz, 1
CBS_k3_n100_m449_b30_615.cnf.xz, 1
CBS_k3_n100_m418_b90_465.cnf.xz, 1
CBS_k3_n100_m441_b30_367.cnf.xz, 1
CBS_k3_n100_m418_b90_916.cnf.xz, 1
CBS_k3_n100_m435_b50_691.cnf.xz, 1
CBS_k3_n100_m449_b30_516.cnf.xz, 1
CBS_k3_n100_m423_b30_991.cnf.xz, 1
CBS_k3_n100_m418_b50_977.cnf.xz, 1
CBS_k3_n100_m403_b30_255.cnf.xz, 1
CBS_k3_n100_m429_b50_404.cnf.xz, 1
CBS_k3_n100_m423_b30_219.cnf.xz, 1
CBS_k3_n100_m435_b30_433.cnf.xz, 1
CBS_k3_n100_m423_b50_98.cnf.xz, 1
CBS_k3_n100_m423_b30_297.cnf.xz, 1
4_101_934.cnf.xz, 1
CBS_k3_n100_m423_b50_925.cnf.xz, 1
CBS_k3_n100_m435_b10_811.cnf.xz, 1
CBS_k3_n100_m423_b50_349.cnf.xz, 1
CBS_k3_n100_m441_b10_533.cnf.xz, 1
CBS_k3_n100_m411_b50_660.cnf.xz, 1
CBS_k3_n100_m441_b90_405.cnf.xz, 1
BMS_k3_n100_m429_86.cnf.xz, 1
CBS_k3_n100_m418_b70_954.cnf.xz, 1
CBS_k3_n100_m423_b50_392.cnf.xz, 1
CBS_k3_n100_m423_b70_679.cnf.xz, 1
or-100-5-3-UC-50.cnf.b+e.gz, 0
CBS_k3_n100_m403_b10_362.cnf.xz, 1
CBS_k3_n100_m435_b70_474.cnf.xz, 1
CBS_k3_n100_m441_b70_178.cnf.xz, 1
RTI_k3_n100_m429_440.cnf.xz, 1
CBS_k3_n100_m441_b50_793.cnf.xz, 1
CBS_k3_n100_m441_b70_207.cnf.xz, 1
CBS_k3_n100_m441_b50_654.cnf.xz, 1
CBS_k3_n100_m418_b70_791.cnf.xz, 1
CBS_k3_n100_m423_b10_183.cnf.xz, 1
CBS_k3_n100_m441_b30_275.cnf.xz, 1
CliqueFormula_24_8_5.cnf.xz, 1
CBS_k3_n100_m403_b70_375.cnf.xz, 1
CBS_k3_n100_m441_b10_956.cnf.xz, 1
CBS_k3_n100_m435_b50_297.cnf.xz, 1
CBS_k3_n100_m418_b10_828.cnf.xz, 1
CBS_k3_n100_m441_b30_701.cnf.xz, 1
CBS_k3_n100_m423_b70_556.cnf.xz, 1
CBS_k3_n100_m418_b30_801.cnf.xz, 1
CBS_k3_n100_m423_b70_845.cnf.xz, 1
CBS_k3_n100_m423_b30_477.cnf.xz, 1
CBS_k3_n100_m423_b90_563.cnf.xz, 1
CBS_k3_n100_m411_b90_911.cnf.xz, 1
CBS_k3_n100_m423_b90_324.cnf.xz, 1
CBS_k3_n100_m441_b50_275.cnf.xz, 1
CBS_k3_n100_m429_b90_27.cnf.xz, 1
CBS_k3_n100_m449_b50_957.cnf.xz, 1
CBS_k3_n100_m441_b50_695.cnf.xz, 1
3_261_1083.cnf.xz, 1
CBS_k3_n100_m429_b50_692.cnf.xz, 1
CBS_k3_n100_m429_b50_984.cnf.xz, 1
CBS_k3_n100_m403_b90_422.cnf.xz, 1
CBS_k3_n100_m411_b90_239.cnf.xz, 1
CBS_k3_n100_m449_b70_245.cnf.xz, 1
CBS_k3_n100_m403_b90_187.cnf.xz, 1
CBS_k3_n100_m435_b90_488.cnf.xz, 1
CBS_k3_n100_m403_b50_597.cnf.xz, 1
CBS_k3_n100_m411_b10_362.cnf.xz, 1
CBS_k3_n100_m411_b70_715.cnf.xz, 1
CBS_k3_n100_m411_b50_65.cnf.xz, 1
CBS_k3_n100_m423_b90_158.cnf.xz, 1
CBS_k3_n100_m403_b50_101.cnf.xz, 1
CBS_k3_n100_m418_b10_643.cnf.xz, 1
3_101_403.cnf.xz, 1
90-18-9-q.cnf.bz2, 0
CBS_k3_n100_m449_b90_819.cnf.xz, 1
CBS_k3_n100_m435_b70_326.cnf.xz, 1
CBS_k3_n100_m423_b30_615.cnf.xz, 1
CBS_k3_n100_m403_b70_133.cnf.xz, 1
CBS_k3_n100_m429_b50_884.cnf.xz, 1
CBS_k3_n100_m423_b10_799.cnf.xz, 1
CBS_k3_n100_m423_b30_889.cnf.xz, 1
CBS_k3_n100_m418_b90_204.cnf.xz, 1
CBS_k3_n100_m403_b30_592.cnf.xz, 1
CBS_k3_n100_m429_b10_655.cnf.xz, 1
CBS_k3_n100_m411_b70_605.cnf.xz, 1
CBS_k3_n100_m449_b50_403.cnf.xz, 1
CBS_k3_n100_m441_b90_802.cnf.xz, 1
CBS_k3_n100_m429_b90_829.cnf.xz, 1
CBS_k3_n100_m435_b70_438.cnf.xz, 1
CBS_k3_n100_m418_b30_538.cnf.xz, 1
CBS_k3_n100_m411_b30_136.cnf.xz, 1
CBS_k3_n100_m418_b70_957.cnf.xz, 1
CBS_k3_n100_m411_b30_838.cnf.xz, 1
CBS_k3_n100_m403_b90_10.cnf.xz, 1
CBS_k3_n100_m449_b30_718.cnf.xz, 1
CBS_k3_n100_m435_b70_992.cnf.xz, 1
CBS_k3_n100_m449_b90_908.cnf.xz, 1
CBS_k3_n100_m429_b30_176.cnf.xz, 1
CBS_k3_n100_m429_b50_762.cnf.xz, 1
CBS_k3_n100_m441_b10_219.cnf.xz, 1
CBS_k3_n100_m418_b10_425.cnf.xz, 1
CBS_k3_n100_m411_b70_957.cnf.xz, 1
CBS_k3_n100_m435_b90_898.cnf.xz, 1
CBS_k3_n100_m411_b90_877.cnf.xz, 1
CBS_k3_n100_m429_b90_911.cnf.xz, 1
CBS_k3_n100_m435_b10_751.cnf.xz, 1
CBS_k3_n100_m449_b90_384.cnf.xz, 1
or-50-20-4-UC-20.cnf.bz2, 0
CBS_k3_n100_m403_b50_131.cnf.xz, 1
CBS_k3_n100_m441_b30_126.cnf.xz, 1
CBS_k3_n100_m403_b10_456.cnf.xz, 1
RTI_k3_n100_m429_230.cnf.xz, 1
CBS_k3_n100_m441_b10_316.cnf.xz, 1
CBS_k3_n100_m423_b50_391.cnf.xz, 1
CBS_k3_n100_m418_b70_870.cnf.xz, 1
CBS_k3_n100_m449_b90_344.cnf.xz, 1
CliqueFormula_22_8_5.cnf.xz, 1
CBS_k3_n100_m418_b30_720.cnf.xz, 1
CBS_k3_n100_m403_b90_264.cnf.xz, 1
CBS_k3_n100_m411_b50_689.cnf.xz, 1
CBS_k3_n100_m418_b10_415.cnf.xz, 1
CBS_k3_n100_m429_b10_912.cnf.xz, 1
CBS_k3_n100_m449_b50_179.cnf.xz, 1
CBS_k3_n100_m423_b50_712.cnf.xz, 1
s444_7_4.cnf-1.bz2, 0
CBS_k3_n100_m449_b50_930.cnf.xz, 1
CBS_k3_n100_m418_b70_829.cnf.xz, 1
CBS_k3_n100_m449_b90_933.cnf.xz, 1
CBS_k3_n100_m411_b90_759.cnf.xz, 1
CBS_k3_n100_m449_b30_62.cnf.xz, 1
CBS_k3_n100_m418_b50_732.cnf.xz, 1
CBS_k3_n100_m435_b10_456.cnf.xz, 1
CBS_k3_n100_m403_b90_492.cnf.xz, 1
CBS_k3_n100_m435_b50_539.cnf.xz, 1
CBS_k3_n100_m418_b90_991.cnf.xz, 1
3_111_449.cnf.xz, 1
CBS_k3_n100_m435_b50_239.cnf.xz, 1
CBS_k3_n100_m449_b10_930.cnf.xz, 1
CBS_k3_n100_m435_b70_44.cnf.xz, 1
CBS_k3_n100_m435_b90_794.cnf.xz, 1
CBS_k3_n100_m429_b30_291.cnf.xz, 1
CBS_k3_n100_m411_b70_27.cnf.xz, 1
CBS_k3_n100_m435_b50_726.cnf.xz, 1
CBS_k3_n100_m435_b30_521.cnf.xz, 1
CBS_k3_n100_m403_b70_514.cnf.xz, 1
CBS_k3_n100_m418_b50_166.cnf.xz, 1
CBS_k3_n100_m435_b30_169.cnf.xz, 1
CBS_k3_n100_m411_b30_456.cnf.xz, 1
CBS_k3_n100_m449_b90_496.cnf.xz, 1
CBS_k3_n100_m441_b30_479.cnf.xz, 1
CBS_k3_n100_m449_b30_420.cnf.xz, 1
CBS_k3_n100_m418_b50_641.cnf.xz, 1
CBS_k3_n100_m449_b90_646.cnf.xz, 1
CBS_k3_n100_m418_b10_730.cnf.xz, 1
CBS_k3_n100_m449_b10_482.cnf.xz, 1
CBS_k3_n100_m423_b30_430.cnf.xz, 1
CBS_k3_n100_m449_b70_298.cnf.xz, 1
CBS_k3_n100_m418_b90_741.cnf.xz, 1
CBS_k3_n100_m441_b70_790.cnf.xz, 1
CBS_k3_n100_m435_b90_914.cnf.xz, 1
CBS_k3_n100_m403_b10_737.cnf.xz, 1
CBS_k3_n100_m411_b30_694.cnf.xz, 1
CBS_k3_n100_m411_b90_169.cnf.xz, 1
CBS_k3_n100_m411_b10_325.cnf.xz, 1
CBS_k3_n100_m423_b90_945.cnf.xz, 1
CBS_k3_n100_m411_b10_529.cnf.xz, 1
CBS_k3_n100_m449_b50_25.cnf.xz, 1
CBS_k3_n100_m403_b70_99.cnf.xz, 1
CBS_k3_n100_m423_b30_213.cnf.xz, 1
CBS_k3_n100_m449_b10_372.cnf.xz, 1
CBS_k3_n100_m418_b30_759.cnf.xz, 1
CBS_k3_n100_m435_b50_742.cnf.xz, 1
RTI_k3_n100_m429_32.cnf.xz, 1
tcas_0018.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m441_b30_138.cnf.xz, 1
CBS_k3_n100_m403_b90_154.cnf.xz, 1
CBS_k3_n100_m449_b90_831.cnf.xz, 1
CBS_k3_n100_m411_b70_24.cnf.xz, 1
s349_3_2.cnf-1.gz, 1
CBS_k3_n100_m449_b70_702.cnf.xz, 1
CBS_k3_n100_m435_b30_613.cnf.xz, 1
CBS_k3_n100_m411_b50_340.cnf.xz, 1
CBS_k3_n100_m418_b10_944.cnf.xz, 1
CBS_k3_n100_m435_b70_595.cnf.xz, 1
CBS_k3_n100_m441_b10_291.cnf.xz, 1
CBS_k3_n100_m435_b50_219.cnf.xz, 1
CBS_k3_n100_m429_b90_369.cnf.xz, 1
CBS_k3_n100_m418_b90_797.cnf.xz, 1
CBS_k3_n100_m423_b10_383.cnf.xz, 1
CBS_k3_n100_m411_b10_544.cnf.xz, 1
CBS_k3_n100_m441_b50_937.cnf.xz, 1
CBS_k3_n100_m418_b10_220.cnf.xz, 1
CBS_k3_n100_m429_b10_165.cnf.xz, 1
CBS_k3_n100_m418_b10_364.cnf.xz, 1
CBS_k3_n100_m449_b50_84.cnf.xz, 1
CBS_k3_n100_m403_b30_259.cnf.xz, 1
gjk_0005.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m418_b10_506.cnf.xz, 1
CBS_k3_n100_m411_b50_196.cnf.xz, 1
CBS_k3_n100_m418_b90_952.cnf.xz, 1
CBS_k3_n100_m441_b10_544.cnf.xz, 1
CBS_k3_n100_m441_b30_314.cnf.xz, 1
3_211_854.cnf.xz, 1
CBS_k3_n100_m418_b10_90.cnf.xz, 1
CBS_k3_n100_m449_b30_455.cnf.xz, 1
CBS_k3_n100_m411_b10_664.cnf.xz, 1
CBS_k3_n100_m441_b70_586.cnf.xz, 1
CBS_k3_n100_m429_b50_192.cnf.xz, 1
CBS_k3_n100_m403_b90_783.cnf.xz, 1
CBS_k3_n100_m411_b90_813.cnf.xz, 1
CBS_k3_n100_m449_b30_778.cnf.xz, 1
CBS_k3_n100_m411_b10_526.cnf.xz, 1
CBS_k3_n100_m449_b90_622.cnf.xz, 1
BMS_k3_n100_m429_283.cnf.xz, 1
CBS_k3_n100_m449_b10_709.cnf.xz, 1
CBS_k3_n100_m435_b50_12.cnf.xz, 1
CBS_k3_n100_m418_b70_944.cnf.xz, 1
CBS_k3_n100_m423_b50_549.cnf.xz, 1
CBS_k3_n100_m449_b30_175.cnf.xz, 1
CBS_k3_n100_m418_b90_1.cnf.xz, 1
BlastedSMT_blasted_squaring2.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m403_b70_840.cnf.xz, 1
CBS_k3_n100_m449_b30_536.cnf.xz, 1
CBS_k3_n100_m403_b70_0.cnf.xz, 1
CBS_k3_n100_m441_b90_764.cnf.xz, 1
CBS_k3_n100_m423_b90_326.cnf.xz, 1
or-50-5-2-UC-30.cnf.bz2, 0
CBS_k3_n100_m423_b50_935.cnf.xz, 1
CBS_k3_n100_m441_b90_173.cnf.xz, 1
CBS_k3_n100_m403_b90_357.cnf.xz, 1
CBS_k3_n100_m411_b90_377.cnf.xz, 1
CBS_k3_n100_m423_b90_61.cnf.xz, 1
CBS_k3_n100_m418_b70_264.cnf.xz, 1
CBS_k3_n100_m403_b30_23.cnf.xz, 1
CBS_k3_n100_m435_b50_29.cnf.xz, 1
CBS_k3_n100_m441_b10_260.cnf.xz, 1
CBS_k3_n100_m449_b10_571.cnf.xz, 1
CBS_k3_n100_m441_b30_219.cnf.xz, 1
CBS_k3_n100_m418_b70_325.cnf.xz, 1
CBS_k3_n100_m429_b30_67.cnf.xz, 1
CBS_k3_n100_m423_b30_909.cnf.xz, 1
CBS_k3_n100_m403_b50_533.cnf.xz, 1
CBS_k3_n100_m441_b10_27.cnf.xz, 1
CBS_k3_n100_m418_b70_816.cnf.xz, 1
CBS_k3_n100_m441_b30_177.cnf.xz, 1
FunctionalSynthesis_2QBF_stmt46_111_238.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m441_b10_45.cnf.xz, 1
CBS_k3_n100_m449_b70_901.cnf.xz, 1
CBS_k3_n100_m441_b70_158.cnf.xz, 1
CBS_k3_n100_m423_b90_678.cnf.xz, 1
CBS_k3_n100_m411_b10_720.cnf.xz, 1
CBS_k3_n100_m429_b50_962.cnf.xz, 1
CBS_k3_n100_m418_b50_523.cnf.xz, 1
CBS_k3_n100_m435_b90_471.cnf.xz, 1
CBS_k3_n100_m423_b30_964.cnf.xz, 1
CBS_k3_n100_m449_b50_638.cnf.xz, 1
BMS_k3_n100_m429_23.cnf.xz, 1
CBS_k3_n100_m441_b10_174.cnf.xz, 1
3_206_854.cnf.xz, 1
CBS_k3_n100_m411_b50_101.cnf.xz, 1
CBS_k3_n100_m429_b30_206.cnf.xz, 1
CBS_k3_n100_m435_b50_557.cnf.xz, 1
or-70-20-10.cnf.b+e.gz, 0
CBS_k3_n100_m429_b10_356.cnf.xz, 1
CBS_k3_n100_m423_b50_814.cnf.xz, 1
CBS_k3_n100_m403_b70_131.cnf.xz, 1
CBS_k3_n100_m423_b30_630.cnf.xz, 1
CBS_k3_n100_m423_b90_782.cnf.xz, 1
CBS_k3_n100_m429_b10_121.cnf.xz, 1
3_147_632.cnf.xz, 1
CBS_k3_n100_m418_b50_220.cnf.xz, 1
CBS_k3_n100_m411_b30_393.cnf.xz, 1
CBS_k3_n100_m435_b70_243.cnf.xz, 1
CBS_k3_n100_m423_b10_496.cnf.xz, 1
3_137_568.cnf.xz, 1
CBS_k3_n100_m435_b90_632.cnf.xz, 1
CBS_k3_n100_m449_b10_131.cnf.xz, 1
CBS_k3_n100_m403_b70_140.cnf.xz, 1
CBS_k3_n100_m423_b70_465.cnf.xz, 1
CBS_k3_n100_m435_b70_26.cnf.xz, 1
CBS_k3_n100_m449_b30_314.cnf.xz, 1
CBS_k3_n100_m429_b90_710.cnf.xz, 1
CBS_k3_n100_m449_b50_912.cnf.xz, 1
CBS_k3_n100_m403_b50_305.cnf.xz, 1
CBS_k3_n100_m449_b30_197.cnf.xz, 1
CBS_k3_n100_m418_b30_774.cnf.xz, 1
CBS_k3_n100_m423_b10_26.cnf.xz, 1
CBS_k3_n100_m449_b70_855.cnf.xz, 1
CBS_k3_n100_m435_b10_414.cnf.xz, 1
CBS_k3_n100_m423_b30_423.cnf.xz, 1
CBS_k3_n100_m429_b10_408.cnf.xz, 1
CBS_k3_n100_m449_b30_833.cnf.xz, 1
CBS_k3_n100_m403_b10_920.cnf.xz, 1
3_226_949.cnf.xz, 1
CBS_k3_n100_m411_b10_160.cnf.xz, 1
CBS_k3_n100_m435_b50_368.cnf.xz, 1
CBS_k3_n100_m418_b90_459.cnf.xz, 1
CBS_k3_n100_m403_b70_852.cnf.xz, 1
CBS_k3_n100_m411_b70_578.cnf.xz, 1
CBS_k3_n100_m423_b10_777.cnf.xz, 1
CBS_k3_n100_m418_b30_840.cnf.xz, 1
RTI_k3_n100_m429_183.cnf.xz, 1
gjk_0001.mcc2020_cnf.pmc.bz2, 0
CBS_k3_n100_m435_b90_557.cnf.xz, 1
CBS_k3_n100_m403_b70_223.cnf.xz, 1
CBS_k3_n100_m449_b30_589.cnf.xz, 1
CBS_k3_n100_m435_b10_852.cnf.xz, 1
CBS_k3_n100_m441_b10_566.cnf.xz, 1
CBS_k3_n100_m441_b90_82.cnf.xz, 1
CBS_k3_n100_m418_b70_355.cnf.xz, 1
CBS_k3_n100_m449_b30_533.cnf.xz, 1
CBS_k3_n100_m429_b90_271.cnf.xz, 1
CBS_k3_n100_m403_b50_145.cnf.xz, 1
BMS_k3_n100_m429_96.cnf.xz, 1
CBS_k3_n100_m435_b50_193.cnf.xz, 1
CliqueFormula_22_9_4.cnf.xz, 1
CBS_k3_n100_m423_b90_400.cnf.xz, 1
CBS_k3_n100_m423_b90_832.cnf.xz, 1
CBS_k3_n100_m429_b30_5.cnf.xz, 1
CBS_k3_n100_m423_b70_731.cnf.xz, 1
CBS_k3_n100_m435_b70_571.cnf.xz, 1
CBS_k3_n100_m418_b30_904.cnf.xz, 1
CBS_k3_n100_m429_b90_623.cnf.xz, 1
CBS_k3_n100_m411_b90_187.cnf.xz, 1
CBS_k3_n100_m435_b10_138.cnf.xz, 1
CBS_k3_n100_m403_b30_103.cnf.xz, 1
CBS_k3_n100_m403_b10_541.cnf.xz, 1
CBS_k3_n100_m423_b10_960.cnf.xz, 1
CBS_k3_n100_m435_b70_610.cnf.xz, 1
CBS_k3_n100_m403_b10_414.cnf.xz, 1
CBS_k3_n100_m449_b10_63.cnf.xz, 1
CBS_k3_n100_m435_b70_83.cnf.xz, 1
CBS_k3_n100_m429_b90_483.cnf.xz, 1
CBS_k3_n100_m403_b50_157.cnf.xz, 1
CBS_k3_n100_m435_b10_829.cnf.xz, 1
CBS_k3_n100_m423_b30_466.cnf.xz, 1
CBS_k3_n100_m403_b50_366.cnf.xz, 1
CBS_k3_n100_m435_b10_290.cnf.xz, 1
CBS_k3_n100_m429_b90_655.cnf.xz, 1
CBS_k3_n100_m441_b30_340.cnf.xz, 1
CBS_k3_n100_m429_b50_472.cnf.xz, 1
50-12-8-q.cnf.b+e.gz, 0
CBS_k3_n100_m423_b50_181.cnf.xz, 1
CBS_k3_n100_m403_b70_288.cnf.xz, 1
CBS_k3_n100_m429_b30_739.cnf.xz, 1
CBS_k3_n100_m429_b50_384.cnf.xz, 1
CBS_k3_n100_m423_b50_579.cnf.xz, 1
CBS_k3_n100_m411_b30_453.cnf.xz, 1
CBS_k3_n100_m411_b50_524.cnf.xz, 1
CBS_k3_n100_m418_b30_500.cnf.xz, 1
CBS_k3_n100_m403_b10_407.cnf.xz, 1
5_51_1048.cnf.xz, 1
CBS_k3_n100_m403_b90_37.cnf.xz, 1
RTI_k3_n100_m429_239.cnf.xz, 1
CBS_k3_n100_m449_b10_282.cnf.xz, 1
CBS_k3_n100_m423_b70_794.cnf.xz, 1
CBS_k3_n100_m418_b10_479.cnf.xz, 1
CBS_k3_n100_m429_b10_579.cnf.xz, 1
CBS_k3_n100_m449_b50_631.cnf.xz, 1
CBS_k3_n100_m418_b90_183.cnf.xz, 1
CBS_k3_n100_m411_b30_751.cnf.xz, 1
CBS_k3_n100_m411_b70_488.cnf.xz, 1
CBS_k3_n100_m449_b70_219.cnf.xz, 1
CBS_k3_n100_m449_b70_977.cnf.xz, 1
CBS_k3_n100_m429_b90_721.cnf.xz, 1
CBS_k3_n100_m429_b50_87.cnf.xz, 1
CBS_k3_n100_m423_b30_573.cnf.xz, 1
BMS_k3_n100_m429_22.cnf.xz, 1
CBS_k3_n100_m411_b70_563.cnf.xz, 1
CBS_k3_n100_m411_b10_329.cnf.xz, 1
CBS_k3_n100_m441_b90_295.cnf.xz, 1
CBS_k3_n100_m449_b30_4.cnf.xz, 1
CBS_k3_n100_m441_b70_671.cnf.xz, 1
CBS_k3_n100_m449_b70_110.cnf.xz, 1
CBS_k3_n100_m435_b70_566.cnf.xz, 1
CBS_k3_n100_m449_b90_563.cnf.xz, 1
CBS_k3_n100_m435_b90_517.cnf.xz, 1
CBS_k3_n100_m403_b10_364.cnf.xz, 1
CBS_k3_n100_m403_b50_360.cnf.xz, 1
CBS_k3_n100_m403_b90_421.cnf.xz, 1
RTI_k3_n100_m429_91.cnf.xz, 1
CBS_k3_n100_m411_b10_91.cnf.xz, 1
CBS_k3_n100_m403_b30_964.cnf.xz, 1
CBS_k3_n100_m411_b10_250.cnf.xz, 1
CBS_k3_n100_m423_b30_739.cnf.xz, 1
CBS_k3_n100_m449_b50_904.cnf.xz, 1
CBS_k3_n100_m435_b90_827.cnf.xz, 1
CBS_k3_n100_m411_b90_472.cnf.xz, 1
CBS_k3_n100_m435_b10_868.cnf.xz, 1
CBS_k3_n100_m403_b70_691.cnf.xz, 1
CBS_k3_n100_m441_b70_598.cnf.xz, 1
CBS_k3_n100_m403_b30_878.cnf.xz, 1
CBS_k3_n100_m403_b30_0.cnf.xz, 1
CBS_k3_n100_m403_b90_496.cnf.xz, 1
CBS_k3_n100_m435_b90_240.cnf.xz, 1
CBS_k3_n100_m441_b10_229.cnf.xz, 1
CBS_k3_n100_m403_b30_986.cnf.xz, 1
CBS_k3_n100_m449_b50_374.cnf.xz, 1
CBS_k3_n100_m423_b10_217.cnf.xz, 1
CBS_k3_n100_m429_b50_311.cnf.xz, 1
